tweet_id,timestamp,source,text,name,dog_stage,rating_numerator,rating_denominator,rating,short_url
892420643555336193,2017-08-01 16:23:56+00:00,iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,Phineas,None,13,10,1.3,https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27+00:00,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",Tilly,None,13,10,1.3,https://t.co/0Xxu71qeIV
891815181378084864,2017-07-31 00:18:03+00:00,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,Archie,None,12,10,1.2,https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30 15:58:51+00:00,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,Darla,None,13,10,1.3,https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24+00:00,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",Franklin,None,12,10,1.2,https://t.co/AtUZn91f7f
891087950875897856,2017-07-29 00:08:17+00:00,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,None,None,13,10,1.3,https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28 16:27:12+00:00,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H",Jax,None,13,10,1.3,https://t.co/tVJBRMnhxl
890729181411237888,2017-07-28 00:22:40+00:00,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,None,None,13,10,1.3,https://t.co/v0nONBcwxq
890609185150312448,2017-07-27 16:25:51+00:00,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,Zoey,None,13,10,1.3,https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26 15:59:51+00:00,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,Cassie,doggo,14,10,1.4,https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26 00:31:25+00:00,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,Koda,None,13,10,1.3,https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25 16:11:53+00:00,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,Bruno,None,13,10,1.3,https://t.co/u1XPQMl29g
889665388333682689,2017-07-25 01:55:32+00:00,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,None,puppo,13,10,1.3,https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25 00:10:02+00:00,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,Ted,None,12,10,1.2,https://t.co/f8dEDcrKSR
889531135344209921,2017-07-24 17:02:04+00:00,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,Stuart,puppo,13,10,1.3,https://t.co/y70o6h3isq
889278841981685760,2017-07-24 00:19:32+00:00,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,Oliver,None,13,10,1.3,https://t.co/WpHvrQedPb
888917238123831296,2017-07-23 00:22:39+00:00,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,Jim,None,12,10,1.2,https://t.co/chxruIOUJN
888804989199671297,2017-07-22 16:56:37+00:00,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,Zeke,None,13,10,1.3,https://t.co/HTQ77yNQ5K
888554962724278272,2017-07-22 00:23:06+00:00,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,Ralphus,None,13,10,1.3,https://t.co/YnYAFCTTiK
888078434458587136,2017-07-20 16:49:33+00:00,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,Gerald,None,12,10,1.2,https://t.co/DK7iDPfuRX
887705289381826560,2017-07-19 16:06:48+00:00,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,Jeffrey,None,13,10,1.3,https://t.co/PhrUk20Q64
887517139158093824,2017-07-19 03:39:09+00:00,iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy),such,None,14,10,1.4,https://t.co/20VrLAA8ba
887473957103951883,2017-07-19 00:47:34+00:00,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,Canela,None,13,10,1.3,https://t.co/cLyzpcUcMX
887343217045368832,2017-07-18 16:08:03+00:00,iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo),None,None,13,10,1.3,https://t.co/WZqNqygEyV
887101392804085760,2017-07-18 00:07:08+00:00,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof,None,None,12,10,1.2,https://t.co/4Ad1jzJSdp
886983233522544640,2017-07-17 16:17:36+00:00,iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in,Maya,None,13,10,1.3,https://t.co/I6oNy0CgiT
886736880519319552,2017-07-16 23:58:41+00:00,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",Mingus,None,13,10,1.3,https://t.co/ISvKOSkd5b
886680336477933568,2017-07-16 20:14:00+00:00,iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal,Derek,None,13,10,1.3,https://t.co/BCoWue0abA
886366144734445568,2017-07-15 23:25:31+00:00,iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,Roscoe,pupper,12,10,1.2,https://t.co/RGE08MIJox
886258384151887873,2017-07-15 16:17:19+00:00,iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles,Waffles,None,13,10,1.3,https://t.co/xZDA9Qsq1O
885984800019947520,2017-07-14 22:10:11+00:00,iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution,Jimbo,None,12,10,1.2,https://t.co/BuveP0uMF1
885528943205470208,2017-07-13 15:58:47+00:00,iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly,Maisey,None,13,10,1.3,https://t.co/tp1kQ8i9JF
885518971528720385,2017-07-13 15:19:09+00:00,iPhone,I have a new hero and his name is Howard. 14/10,None,None,14,10,1.4,https://t.co/gzLHboL7Sk
885167619883638784,2017-07-12 16:03:00+00:00,iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10,None,None,13,10,1.3,https://t.co/44ItaMubBf
884925521741709313,2017-07-12 00:01:00+00:00,iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl",Earl,None,12,10,1.2,https://t.co/MYJvdlNRVa
884876753390489601,2017-07-11 20:47:12+00:00,iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola,Lola,None,13,10,1.3,https://t.co/74TKAUsLkO
884562892145688576,2017-07-11 00:00:02+00:00,iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin,Kevin,None,13,10,1.3,https://t.co/1r4MFCbCX5
884441805382717440,2017-07-10 15:58:53+00:00,iPhone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales)",None,None,14,10,1.4,https://t.co/vvBOcC2VdC
884247878851493888,2017-07-10 03:08:17+00:00,iPhone,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE,None,None,13,10,1.3,https://t.co/uF3pQ8Wubj
884162670584377345,2017-07-09 21:29:42+00:00,iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo,Yogi,doggo,12,10,1.2,https://t.co/YSI00BzTBZ
883838122936631299,2017-07-09 00:00:04+00:00,iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy,Noah,None,12,10,1.2,https://t.co/V85xujjDDY
883482846933004288,2017-07-08 00:28:19+00:00,iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10",Bella,None,5,10,0.5,https://t.co/qjrljjt948
883360690899218434,2017-07-07 16:22:55+00:00,iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck,Grizzwald,floofer,13,10,1.3,https://t.co/rf661IFEYP
883117836046086144,2017-07-07 00:17:54+00:00,iPhone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat",None,None,13,10,1.3,https://t.co/Se5fZ9wp5E
882992080364220416,2017-07-06 15:58:11+00:00,iPhone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy,Rusty,None,13,10,1.3,https://t.co/tyER0KpdXj
882762694511734784,2017-07-06 00:46:41+00:00,iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,Gus,pupper,12,10,1.2,https://t.co/D43I96SlVu
882627270321602560,2017-07-05 15:48:34+00:00,iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi),Stanley,None,13,10,1.3,https://t.co/Nx52PGwH94
882268110199369728,2017-07-04 16:01:23+00:00,iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸,Alfy,None,13,10,1.3,https://t.co/fYP5RlutfA
882045870035918850,2017-07-04 01:18:17+00:00,iPhone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko",Koko,None,13,10,1.3,https://t.co/zeDpnsKX7w
881906580714921986,2017-07-03 16:04:48+00:00,iPhone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable,Rey,None,12,10,1.2,https://t.co/503CgWbhxQ
881666595344535552,2017-07-03 00:11:11+00:00,iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely,Gary,None,13,10,1.3,https://t.co/7CSWCl8I6s
881536004380872706,2017-07-02 15:32:16+00:00,iPhone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow)",a,pupper,14,10,1.4,https://t.co/ghXBIIeQZF
881268444196462592,2017-07-01 21:49:04+00:00,iPhone,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet,Elliot,None,12,10,1.2,https://t.co/cgwJwowTMC
880935762899988482,2017-06-30 23:47:07+00:00,iPhone,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking,Louis,None,13,10,1.3,https://t.co/D0wb1GlKAt
880872448815771648,2017-06-30 19:35:32+00:00,iPhone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10,None,None,12,10,1.2,https://t.co/WiAMbTkDPf
880465832366813184,2017-06-29 16:39:47+00:00,iPhone,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop,Bella,None,12,10,1.2,https://t.co/4VsFysDmiw
